compiler method cycles
gcc malloc 3664
icc malloc 3518
gcc new 8522
icc new 1318
gcc malloc 3276
icc malloc 3417
gcc new 7335
icc new 1272
gcc malloc 2894
icc malloc 3821
gcc new 7812
icc new 1551
gcc malloc 2995
icc malloc 3509
gcc new 7507
icc new 1371
gcc malloc 3178
icc malloc 3707
gcc new 7525
icc new 1196
gcc malloc 3264
icc malloc 5818
gcc new 7500
icc new 1364
gcc malloc 3206
icc malloc 4163
gcc new 9461
icc new 1863
gcc malloc 3270
icc malloc 3545
gcc new 6898
icc new 1502
gcc malloc 3448
icc malloc 4099
gcc new 7831
icc new 1425
gcc malloc 3371
icc malloc 3624
gcc new 7874
icc new 1282
gcc malloc 3001
icc malloc 3674
gcc new 7375
icc new 1334
gcc malloc 3136
icc malloc 3989
gcc new 8458
icc new 1257
gcc malloc 3132
icc malloc 3937
gcc new 7647
icc new 1331
gcc malloc 3242
icc malloc 3628
gcc new 7677
icc new 1477
gcc malloc 3034
icc malloc 3407
gcc new 8060
icc new 1383
gcc malloc 3261
icc malloc 3487
gcc new 7729
icc new 1380
gcc malloc 3184
icc malloc 3585
gcc new 7448
icc new 2083
gcc malloc 3062
icc malloc 3707
gcc new 7158
icc new 1484
gcc malloc 3190
icc malloc 3490
gcc new 8174
icc new 1695
gcc malloc 3162
icc malloc 3796
gcc new 8036
icc new 1578
gcc malloc 2992
icc malloc 3668
gcc new 10675
icc new 1658
gcc malloc 2909
icc malloc 3766
gcc new 8283
icc new 1312
gcc malloc 3166
icc malloc 3667
gcc new 7736
icc new 1780
gcc malloc 3139
icc malloc 3346
gcc new 8466
icc new 1649
gcc malloc 3098
icc malloc 3731
gcc new 7537
icc new 1444
gcc malloc 3156
icc malloc 3557
gcc new 7595
icc new 1475
gcc malloc 3016
icc malloc 4885
gcc new 7494
icc new 1603
gcc malloc 3218
icc malloc 3417
gcc new 8614
icc new 1643
gcc malloc 4105
icc malloc 3799
gcc new 7522
icc new 1710
gcc malloc 3566
icc malloc 3410
gcc new 7644
icc new 2376
gcc malloc 3340
icc malloc 3536
gcc new 8844
icc new 2111
gcc malloc 4016
icc malloc 4206
gcc new 8243
icc new 1707
gcc malloc 3279
icc malloc 3930
gcc new 8338
icc new 1453
gcc malloc 3132
icc malloc 5258
gcc new 7241
icc new 1578
gcc malloc 3404
icc malloc 4335
gcc new 8158
icc new 1294
gcc malloc 3573
icc malloc 3631
gcc new 8090
icc new 1520
gcc malloc 3741
icc malloc 3799
gcc new 8207
icc new 2208
gcc malloc 2762
icc malloc 3633
gcc new 8152
icc new 1801
gcc malloc 3252
icc malloc 3928
gcc new 8011
icc new 1786
gcc malloc 2982
icc malloc 5038
gcc new 7358
icc new 1397
gcc malloc 3120
icc malloc 3613
gcc new 7451
icc new 1428
gcc malloc 2860
icc malloc 3759
gcc new 12945
icc new 1466
gcc malloc 3111
icc malloc 3762
gcc new 7763
icc new 1423
gcc malloc 2869
icc malloc 4481
gcc new 8023
icc new 1304
gcc malloc 3221
icc malloc 4802
gcc new 7947
icc new 1490
gcc malloc 3077
icc malloc 3771
gcc new 8284
icc new 1872
gcc malloc 3423
icc malloc 3735
gcc new 7479
icc new 1575
gcc malloc 3283
icc malloc 3552
gcc new 7617
icc new 1600
gcc malloc 3725
icc malloc 4270
gcc new 7708
icc new 1297
gcc malloc 5344
icc malloc 3769
gcc new 7788
icc new 1294
gcc malloc 3089
icc malloc 3799
gcc new 7482
icc new 1957
gcc malloc 3138
icc malloc 4564
gcc new 7882
icc new 1618
gcc malloc 3245
icc malloc 3838
gcc new 7852
icc new 2059
gcc malloc 3074
icc malloc 3839
gcc new 7598
icc new 1747
gcc malloc 3264
icc malloc 3930
gcc new 7797
icc new 1284
gcc malloc 3126
icc malloc 3875
gcc new 7978
icc new 1680
gcc malloc 3359
icc malloc 3563
gcc new 7659
icc new 1645
gcc malloc 3671
icc malloc 3870
gcc new 7409
icc new 1572
gcc malloc 3465
icc malloc 3823
gcc new 7984
icc new 1538
gcc malloc 3031
icc malloc 3774
gcc new 7329
icc new 1557
gcc malloc 3377
icc malloc 4169
gcc new 7625
icc new 1489
gcc malloc 3077
icc malloc 3643
gcc new 8892
icc new 1658
gcc malloc 3340
icc malloc 3417
gcc new 7656
icc new 1796
gcc malloc 3135
icc malloc 3737
gcc new 7448
icc new 1527
gcc malloc 2973
icc malloc 3870
gcc new 8112
icc new 1569
gcc malloc 2988
icc malloc 3863
gcc new 7543
icc new 1637
gcc malloc 3359
icc malloc 4286
gcc new 7408
icc new 1512
gcc malloc 3432
icc malloc 3722
gcc new 8060
icc new 1726
gcc malloc 3197
icc malloc 3738
gcc new 7335
icc new 2264
gcc malloc 3292
icc malloc 3383
gcc new 7363
icc new 1382
gcc malloc 3062
icc malloc 4056
gcc new 7473
icc new 1499
gcc malloc 3297
icc malloc 3582
gcc new 8791
icc new 1854
gcc malloc 3117
icc malloc 4047
gcc new 7926
icc new 1802
gcc malloc 3047
icc malloc 3683
gcc new 11440
icc new 1896
gcc malloc 3457
icc malloc 4505
gcc new 7212
icc new 1643
gcc malloc 3300
icc malloc 3606
gcc new 7877
icc new 1535
gcc malloc 3273
icc malloc 3921
gcc new 7442
icc new 1759
gcc malloc 3028
icc malloc 3527
gcc new 7580
icc new 1349
gcc malloc 3181
